product_name,supplier_name,total_packs_ordered,pack_size,pack_price,PO_cost,total_packs_received,receipt_pack_price,received_cost,upc,store_id,store_name,product_id,restock_order_id,is_out_of_stock,out_of_stock_reason
Tostitos Chunky Salsa - Medium - 15.5 oz,Frito Lay,5,1,3,15,,,,000284003775,5,UofA,346,13751,false,
Doritos - Spicy Sweet Chili - 2.75 oz,Frito Lay,3,1,1.88,5.64,,,,765936482630,5,UofA,1948,13751,false,
Quaker Instant Oatmeal - Maple & Brown Sugar - 1.69 oz,Frito Lay,10,1,1.04,10.4,,,,,5,UofA,7325,13751,false,
Fritos - Original - 3.5 oz,Frito Lay,5,1,1.88,9.4,,,,028400355278,5,UofA,332,13751,false,
Tostitos - Original Scoops - 10.0 oz,Frito Lay,10,1,1.88,18.8,,,,,5,UofA,479,13751,false,
Funyuns - Original - 2.125 oz,Frito Lay,10,1,1.88,18.8,,,,,5,UofA,1956,13751,false,
Sabritones - Chili Lime - 2.75 oz,Frito Lay,10,1,1.88,18.8,,,,,5,UofA,1958,13751,false,
Turbos Flamas - Corn Chips - 4.0 oz,Frito Lay,10,1,1.88,18.8,,,,,5,UofA,1973,13751,false,
Lay's - Salt & Vinegar - 2.625 oz,Frito Lay,10,1,1.74,17.4,,,,028400323857,5,UofA,3360,13751,false,
Cracker Jack - The Original - 4.12 oz,Frito Lay,10,1,1.88,18.8,,,,028400172516,5,UofA,4147,13751,false,
Doritos - Nacho Cheese - 2.5 oz,Frito Lay,15,1,1.88,28.2,,,,028400357012,5,UofA,1896,13751,True,product_oos
Popcorners - White Cheddar - 3.0 oz,Frito Lay,10,1,1.65,16.5,,,,,5,UofA,7066,13751,false,
Popcorners - Kettle Corn - 3.0 oz,Frito Lay,10,1,1.65,16.5,,,,,5,UofA,7067,13751,false,
Popcorners - Sea Salt - 3.0 oz,Frito Lay,10,1,1.94,19.4,,,,,5,UofA,7068,13751,True,product_oos
Popcorners - Spicy Queso - 3.0 oz,Frito Lay,10,1,1.65,16.5,,,,,5,UofA,6800,13751,false,
Smartfood Popcorn - Simply Sea Salt - 1.62 oz,Frito Lay,10,1,1.88,18.8,,,,,5,UofA,7850,13751,True,product_oos
Smartfood - White Cheddar Popcorn - 2.0 oz,Frito Lay,10,1,1.88,18.8,,,,028400331791,5,UofA,5106,13751,false,
Popcorners - Cinnamon Crunch - 3.0 oz,Frito Lay,10,1,1.88,18.8,,,,,5,UofA,7523,13751,false,
Doritos - Nacho Cheese - 2.75 oz,Frito Lay,10,1,1.88,18.8,,,,028400516464,5,UofA,52,13751,True,product_oos
Funyuns - Flamin' Hot - 2.12 oz,Frito Lay,10,1,1.88,18.8,,,,,5,UofA,917,13751,false,
Tostitos - Restaurant Style - 12.0 oz,Frito Lay,10,1,4.41,44.1,,,,028400517997,5,UofA,4804,13751,false,
